timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
165799,2128,1135,0.092,0.046,35,35,1,1
165899,2145,1142,0.092,0.046,35,35,1,1
165999,2162,1150,0.092,0.046,35,35,1,1
166099,2179,1158,0.991,0.461,35,35,1,1
166199,2196,1166,0.991,0.461,35,35,1,1
166299,2212,1174,0.945,0.461,35,35,1,1
166399,2229,1182,0.945,0.461,35,35,1,1
166499,2246,1190,0.945,0.461,35,35,1,1
166599,2263,1197,0.968,0.438,35,35,1,1
166699,2280,1205,0.968,0.438,35,35,1,1
166799,2296,1213,0.968,0.461,35,35,1,1
166899,2311,1221,0.968,0.461,35,35,1,1
166999,2328,1229,0.968,0.461,35,35,1,1
167099,2345,1236,0.922,0.438,35,35,1,1
167199,2362,1244,0.922,0.438,35,35,1,1
167299,2378,1252,0.991,0.461,35,35,1,1
167399,2395,1260,0.991,0.461,35,35,1,1
167499,2411,1268,0.991,0.461,35,35,1,1
167599,2428,1276,0.922,0.438,35,35,1,1
167699,2445,1283,0.922,0.438,35,35,1,1
167799,2462,1291,0.991,0.461,35,35,1,1
167899,2478,1299,0.991,0.461,35,35,1,1
167999,2493,1307,0.991,0.461,35,35,1,1
168099,2509,1315,0.898,0.438,35,35,1,1
168199,2526,1322,0.898,0.438,35,35,1,1
168299,2543,1330,0.968,0.461,35,35,1,1
168399,2559,1338,0.968,0.461,35,35,1,1
168499,2575,1346,0.968,0.461,35,35,1,1
168599,2591,1354,0.922,0.438,35,35,1,1
168699,2607,1361,0.922,0.438,35,35,1,1
168799,2624,1369,0.945,0.461,35,35,1,1
168899,2641,1377,0.945,0.461,35,35,1,1
168999,2657,1385,0.945,0.461,35,35,1,1
169099,2673,1393,0.945,0.438,35,35,1,1
169199,2689,1400,0.945,0.438,35,35,1,1
169299,2706,1408,0.945,0.461,35,35,1,1
169399,2722,1416,0.945,0.461,35,35,1,1
169499,2739,1424,0.945,0.461,35,35,1,1
169599,2755,1432,0.945,0.438,35,35,1,1
169699,2771,1439,0.945,0.438,35,35,1,1
169799,2787,1447,0.922,0.461,35,35,1,1
169899,2803,1455,0.922,0.461,35,35,1,1
169999,2820,1463,0.922,0.461,35,35,1,1
170099,2836,1470,0.945,0.438,35,35,1,1
170199,2853,1478,0.945,0.438,35,35,1,1
170299,2868,1486,0.922,0.461,35,35,1,1
170399,2884,1494,0.922,0.461,35,35,1,1
170499,2900,1501,0.922,0.461,35,35,1,1
170599,2917,1509,0.945,0.438,35,35,1,1
170699,2934,1517,0.945,0.438,35,35,1,1
170799,2950,1525,0.945,0.438,35,35,1,1
170899,2965,1532,0.945,0.438,35,35,1,1
170999,2981,1540,0.945,0.438,35,35,1,1
171099,2998,1548,0.898,0.461,35,35,1,1
