timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
202377,4235,2065,0.000,0.000,45,45,1,1
202477,4256,2074,0.000,0.000,45,45,1,1
202577,4279,2084,0.922,0.438,45,45,1,1
202677,4303,2093,0.922,0.438,45,45,1,1
202777,4328,2103,0.922,0.438,45,45,1,1
202877,4352,2113,1.382,0.553,45,45,1,1
202977,4376,2122,1.382,0.553,45,45,1,1
203077,4400,2132,1.382,0.553,45,45,1,1
203177,4425,2142,1.382,0.553,45,45,1,1
203277,4449,2151,1.382,0.553,45,45,1,1
203377,4472,2161,1.405,0.553,45,45,1,1
203477,4496,2170,1.405,0.553,45,45,1,1
203577,4521,2180,1.382,0.553,45,45,1,1
203677,4546,2189,1.382,0.553,45,45,1,1
203777,4570,2199,1.382,0.553,45,45,1,1
203877,4594,2209,1.405,0.553,45,45,1,1
203977,4618,2218,1.405,0.553,45,45,1,1
204077,4642,2228,1.405,0.553,45,45,1,1
204177,4667,2237,1.405,0.553,45,45,1,1
204277,4691,2247,1.405,0.553,45,45,1,1
204377,4715,2257,1.382,0.553,45,45,1,1
204477,4739,2266,1.382,0.553,45,45,1,1
204577,4763,2276,1.405,0.553,45,45,1,1
204677,4788,2285,1.405,0.553,45,45,1,1
204777,4812,2295,1.405,0.553,45,45,1,1
204877,4836,2305,1.405,0.553,45,45,1,1
204977,4860,2314,1.405,0.553,45,45,1,1
205077,4885,2324,1.382,0.553,45,45,1,1
205177,4909,2333,1.382,0.553,45,45,1,1
205277,4932,2343,1.382,0.553,45,45,1,1
205377,4956,2352,1.382,0.553,45,45,1,1
205477,4980,2362,1.382,0.553,45,45,1,1
205577,5005,2371,1.382,0.530,45,45,1,1
205677,5029,2381,1.382,0.530,45,45,1,1
205777,5052,2391,1.382,0.530,45,45,1,1
205877,5076,2400,1.382,0.553,45,45,1,1
205977,5100,2410,1.382,0.553,45,45,1,1
206077,5125,2419,1.382,0.553,45,45,1,1
206177,5148,2429,1.382,0.553,45,45,1,1
206277,5172,2438,1.382,0.553,45,45,1,1
206377,5196,2448,1.382,0.553,45,45,1,1
206477,5221,2457,1.382,0.553,45,45,1,1
206577,5245,2467,1.382,0.553,45,45,1,1
206677,5268,2477,1.382,0.553,45,45,1,1
206777,5292,2486,1.382,0.553,45,45,1,1
206877,5316,2496,1.382,0.553,45,45,1,1
206977,5340,2505,1.382,0.553,45,45,1,1
207077,5364,2515,1.382,0.553,45,45,1,1
207177,5388,2524,1.382,0.553,45,45,1,1
207277,5411,2534,1.382,0.553,45,45,1,1
207377,5435,2543,1.359,0.553,45,45,1,1
207477,5460,2553,1.359,0.553,45,45,1,1
207577,5483,2563,1.382,0.530,45,45,1,1
207677,5506,2572,1.382,0.530,45,45,1,1
207777,5530,2582,1.382,0.530,45,45,1,1
