timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
186205,3068,1575,0.000,0.000,40,40,1,1
186305,3087,1583,0.484,0.253,40,40,1,1
186405,3107,1592,0.484,0.253,40,40,1,1
186505,3127,1601,0.484,0.253,40,40,1,1
186605,3148,1610,1.175,0.484,40,40,1,1
186705,3168,1618,1.175,0.484,40,40,1,1
186805,3188,1627,1.152,0.507,40,40,1,1
186905,3208,1636,1.152,0.507,40,40,1,1
187005,3229,1644,1.152,0.507,40,40,1,1
187105,3250,1653,1.198,0.507,40,40,1,1
187205,3270,1662,1.198,0.507,40,40,1,1
187305,3290,1671,1.175,0.507,40,40,1,1
187405,3311,1679,1.175,0.507,40,40,1,1
187505,3332,1688,1.175,0.507,40,40,1,1
187605,3353,1697,1.198,0.484,40,40,1,1
187705,3373,1706,1.198,0.484,40,40,1,1
187805,3393,1714,1.175,0.507,40,40,1,1
187905,3414,1723,1.175,0.507,40,40,1,1
188005,3434,1731,1.175,0.507,40,40,1,1
188105,3455,1740,1.175,0.507,40,40,1,1
188205,3475,1749,1.175,0.507,40,40,1,1
188305,3495,1758,1.152,0.507,40,40,1,1
188405,3515,1766,1.152,0.507,40,40,1,1
188505,3536,1775,1.152,0.507,40,40,1,1
188605,3557,1784,1.175,0.484,40,40,1,1
188705,3577,1792,1.175,0.484,40,40,1,1
188805,3597,1801,1.175,0.507,40,40,1,1
188905,3617,1810,1.175,0.507,40,40,1,1
189005,3637,1818,1.175,0.507,40,40,1,1
189105,3658,1827,1.175,0.507,40,40,1,1
189205,3678,1836,1.175,0.507,40,40,1,1
189305,3698,1845,1.175,0.507,40,40,1,1
189405,3718,1853,1.175,0.507,40,40,1,1
189505,3738,1862,1.175,0.507,40,40,1,1
189605,3758,1870,1.129,0.484,40,40,1,1
189705,3779,1879,1.129,0.484,40,40,1,1
189805,3798,1888,1.175,0.507,40,40,1,1
189905,3818,1897,1.175,0.507,40,40,1,1
190005,3838,1905,1.175,0.507,40,40,1,1
190105,3859,1914,1.152,0.484,40,40,1,1
190205,3880,1922,1.152,0.484,40,40,1,1
190305,3900,1931,1.175,0.507,40,40,1,1
190405,3919,1940,1.175,0.507,40,40,1,1
190505,3940,1949,1.175,0.507,40,40,1,1
190605,3960,1957,1.152,0.507,40,40,1,1
190705,3981,1966,1.152,0.507,40,40,1,1
190805,4001,1975,1.198,0.507,40,40,1,1
190905,4021,1983,1.198,0.507,40,40,1,1
191005,4042,1992,1.198,0.507,40,40,1,1
191105,4062,2001,1.152,0.484,40,40,1,1
191205,4084,2009,1.152,0.484,40,40,1,1
191305,4104,2018,1.198,0.507,40,40,1,1
191405,4124,2027,1.198,0.507,40,40,1,1
191505,4144,2035,1.198,0.507,40,40,1,1
191605,4164,2044,1.152,0.507,40,40,1,1
