timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
256067,5623,2603,0.046,0.023,50,50,1,1
256167,5646,2614,0.046,0.023,50,50,1,1
256267,5673,2624,0.046,0.023,50,50,1,1
256367,5702,2635,1.382,0.576,50,50,1,1
256467,5731,2645,1.382,0.576,50,50,1,1
256567,5760,2656,1.659,0.622,50,50,1,1
256667,5789,2666,1.659,0.622,50,50,1,1
256767,5818,2677,1.659,0.622,50,50,1,1
256867,5847,2687,1.682,0.599,50,50,1,1
256967,5877,2698,1.682,0.599,50,50,1,1
257067,5906,2709,1.705,0.599,50,50,1,1
257167,5935,2719,1.705,0.599,50,50,1,1
257267,5965,2729,1.705,0.599,50,50,1,1
257367,5994,2740,1.682,0.599,50,50,1,1
257467,6023,2751,1.682,0.599,50,50,1,1
257567,6053,2761,1.659,0.622,50,50,1,1
257667,6082,2771,1.659,0.622,50,50,1,1
257767,6112,2783,1.659,0.622,50,50,1,1
257867,6141,2793,1.728,0.622,50,50,1,1
257967,6170,2804,1.728,0.622,50,50,1,1
258067,6199,2814,1.659,0.599,50,50,1,1
258167,6228,2825,1.659,0.599,50,50,1,1
258267,6257,2836,1.659,0.599,50,50,1,1
258367,6286,2847,1.682,0.645,50,50,1,1
258467,6316,2857,1.682,0.645,50,50,1,1
258567,6346,2868,1.705,0.599,50,50,1,1
258667,6375,2878,1.705,0.599,50,50,1,1
258767,6405,2889,1.705,0.599,50,50,1,1
258867,6433,2899,1.682,0.599,50,50,1,1
258967,6464,2910,1.682,0.599,50,50,1,1
259067,6493,2920,1.705,0.599,50,50,1,1
259167,6523,2931,1.705,0.599,50,50,1,1
259267,6551,2941,1.705,0.599,50,50,1,1
259367,6580,2952,1.682,0.599,50,50,1,1
259467,6610,2962,1.682,0.599,50,50,1,1
259567,6639,2973,1.682,0.599,50,50,1,1
259667,6669,2983,1.682,0.599,50,50,1,1
259767,6698,2993,1.682,0.599,50,50,1,1
259867,6727,3004,1.705,0.599,50,50,1,1
259967,6756,3015,1.705,0.599,50,50,1,1
260067,6785,3025,1.659,0.622,50,50,1,1
260167,6815,3035,1.659,0.622,50,50,1,1
260267,6844,3046,1.659,0.622,50,50,1,1
260367,6873,3056,1.705,0.599,50,50,1,1
260467,6902,3067,1.705,0.599,50,50,1,1
260567,6931,3077,1.659,0.599,50,50,1,1
260667,6963,3088,1.659,0.599,50,50,1,1
260767,6992,3098,1.659,0.599,50,50,1,1
260867,7021,3109,1.751,0.599,50,50,1,1
260967,7051,3119,1.751,0.599,50,50,1,1
261067,7080,3129,1.682,0.599,50,50,1,1
261167,7109,3140,1.682,0.599,50,50,1,1
261267,7138,3150,1.682,0.599,50,50,1,1
261367,7167,3161,1.682,0.599,50,50,1,1
261467,7196,3171,1.682,0.599,50,50,1,1
