timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
60982,23,-13,0.000,0.000,15,15,1,1
61082,29,-10,0.138,0.069,15,15,1,1
61182,34,-6,0.138,0.069,15,15,1,1
61282,40,-3,0.299,0.207,15,15,1,1
61382,45,1,0.299,0.207,15,15,1,1
61482,51,4,0.299,0.207,15,15,1,1
61582,56,7,0.323,0.184,15,15,1,1
61682,62,11,0.323,0.184,15,15,1,1
61782,67,14,0.323,0.207,15,15,1,1
61882,73,17,0.323,0.207,15,15,1,1
61982,79,21,0.323,0.207,15,15,1,1
62082,85,24,0.346,0.184,15,15,1,1
62182,90,27,0.346,0.184,15,15,1,1
62282,96,31,0.299,0.207,15,15,1,1
62382,101,34,0.299,0.207,15,15,1,1
62482,106,38,0.299,0.207,15,15,1,1
62582,111,41,0.323,0.184,15,15,1,1
62682,117,44,0.323,0.184,15,15,1,1
62782,122,48,0.299,0.207,15,15,1,1
62882,128,51,0.299,0.207,15,15,1,1
62982,133,54,0.299,0.207,15,15,1,1
63082,139,58,0.323,0.184,15,15,1,1
63182,145,61,0.323,0.184,15,15,1,1
63282,150,65,0.323,0.184,15,15,1,1
63382,156,68,0.323,0.184,15,15,1,1
63482,162,71,0.323,0.184,15,15,1,1
63582,167,75,0.323,0.207,15,15,1,1
63682,172,78,0.323,0.207,15,15,1,1
63782,178,81,0.299,0.184,15,15,1,1
63882,183,85,0.299,0.184,15,15,1,1
63982,189,88,0.299,0.184,15,15,1,1
64082,194,92,0.323,0.207,15,15,1,1
64182,200,95,0.323,0.207,15,15,1,1
64282,205,98,0.323,0.184,15,15,1,1
64382,211,102,0.323,0.184,15,15,1,1
64482,217,105,0.323,0.184,15,15,1,1
64582,223,108,0.323,0.207,15,15,1,1
64682,228,112,0.323,0.207,15,15,1,1
64782,234,115,0.346,0.184,15,15,1,1
64882,239,119,0.346,0.184,15,15,1,1
64982,244,122,0.346,0.184,15,15,1,1
65082,250,125,0.299,0.184,15,15,1,1
65182,255,129,0.299,0.184,15,15,1,1
65282,260,132,0.299,0.207,15,15,1,1
65382,266,135,0.299,0.207,15,15,1,1
65482,271,139,0.299,0.207,15,15,1,1
65582,277,142,0.299,0.184,15,15,1,1
65682,282,146,0.299,0.184,15,15,1,1
65782,288,149,0.323,0.207,15,15,1,1
65882,294,152,0.323,0.207,15,15,1,1
65982,299,156,0.323,0.207,15,15,1,1
66082,305,159,0.346,0.184,15,15,1,1
66182,310,162,0.346,0.184,15,15,1,1
66282,316,166,0.299,0.207,15,15,1,1
66382,321,169,0.299,0.207,15,15,1,1
