timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
147835,1374,751,0.023,0.000,30,30,1,1
147935,1389,758,0.023,0.000,30,30,1,1
148035,1402,765,0.760,0.392,30,30,1,1
148135,1416,772,0.760,0.392,30,30,1,1
148235,1430,779,0.760,0.392,30,30,1,1
148335,1444,786,0.783,0.392,30,30,1,1
148435,1457,792,0.783,0.392,30,30,1,1
148535,1470,799,0.760,0.392,30,30,1,1
148635,1483,806,0.760,0.392,30,30,1,1
148735,1496,813,0.760,0.392,30,30,1,1
148835,1509,820,0.760,0.392,30,30,1,1
148935,1522,827,0.760,0.392,30,30,1,1
149035,1536,833,0.783,0.392,30,30,1,1
149135,1549,840,0.783,0.392,30,30,1,1
149235,1562,847,0.783,0.392,30,30,1,1
149335,1575,854,0.737,0.392,30,30,1,1
149435,1588,861,0.737,0.392,30,30,1,1
149535,1601,867,0.760,0.392,30,30,1,1
149635,1615,874,0.760,0.392,30,30,1,1
149735,1628,881,0.760,0.392,30,30,1,1
149835,1641,888,0.760,0.392,30,30,1,1
149935,1654,895,0.760,0.392,30,30,1,1
150035,1667,902,0.760,0.392,30,30,1,1
150135,1680,908,0.760,0.392,30,30,1,1
150235,1694,915,0.760,0.392,30,30,1,1
150335,1707,922,0.760,0.392,30,30,1,1
150435,1720,929,0.760,0.392,30,30,1,1
150535,1734,936,0.760,0.392,30,30,1,1
150635,1746,942,0.760,0.392,30,30,1,1
150735,1759,949,0.760,0.392,30,30,1,1
150835,1772,956,0.737,0.392,30,30,1,1
150935,1786,963,0.737,0.392,30,30,1,1
151035,1799,970,0.783,0.392,30,30,1,1
151135,1812,976,0.783,0.392,30,30,1,1
151235,1825,983,0.783,0.392,30,30,1,1
151335,1838,990,0.737,0.392,30,30,1,1
151435,1851,997,0.737,0.392,30,30,1,1
151535,1864,1003,0.737,0.392,30,30,1,1
151635,1878,1010,0.737,0.392,30,30,1,1
151735,1891,1017,0.737,0.392,30,30,1,1
151835,1904,1024,0.783,0.392,30,30,1,1
151935,1917,1031,0.783,0.392,30,30,1,1
152035,1930,1038,0.737,0.392,30,30,1,1
152135,1943,1044,0.737,0.392,30,30,1,1
152235,1956,1051,0.737,0.392,30,30,1,1
152335,1970,1058,0.783,0.392,30,30,1,1
152435,1983,1065,0.783,0.392,30,30,1,1
152535,1996,1071,0.737,0.392,30,30,1,1
152635,2009,1078,0.737,0.392,30,30,1,1
152735,2022,1085,0.737,0.392,30,30,1,1
152835,2035,1092,0.760,0.392,30,30,1,1
152935,2049,1099,0.760,0.392,30,30,1,1
153035,2062,1105,0.783,0.392,30,30,1,1
153135,2075,1112,0.783,0.392,30,30,1,1
153235,2088,1119,0.783,0.392,30,30,1,1
