timestamp_ms,left_count,right_count,left_speed_ms,right_speed_ms,left_pwm,right_pwm,left_direction,right_direction
311057,7328,3196,0.069,0.046,50,50,1,1
311157,7353,3207,0.069,0.046,55,55,1,1
311257,7383,3218,0.069,0.046,55,55,1,1
311357,7415,3230,1.567,0.622,55,55,1,1
311457,7447,3241,1.567,0.622,55,55,1,1
311557,7479,3253,1.843,0.645,55,55,1,1
311657,7512,3264,1.843,0.645,55,55,1,1
311757,7545,3275,1.843,0.645,55,55,1,1
311857,7578,3287,1.889,0.668,55,55,1,1
311957,7610,3298,1.889,0.668,55,55,1,1
312057,7643,3309,1.889,0.645,55,55,1,1
312157,7676,3320,1.889,0.645,55,55,1,1
312257,7710,3332,1.889,0.645,55,55,1,1
312357,7743,3343,1.912,0.645,55,55,1,1
312457,7777,3354,1.912,0.645,55,55,1,1
312557,7810,3365,1.935,0.645,55,55,1,1
312657,7843,3377,1.935,0.645,55,55,1,1
312757,7876,3388,1.935,0.645,55,55,1,1
312857,7910,3399,1.889,0.668,55,55,1,1
312957,7944,3411,1.889,0.668,55,55,1,1
313057,7977,3422,1.935,0.645,55,55,1,1
313157,8009,3433,1.935,0.645,55,55,1,1
313257,8042,3444,1.935,0.645,55,55,1,1
313357,8075,3456,1.889,0.645,55,55,1,1
313457,8109,3467,1.889,0.645,55,55,1,1
313557,8142,3478,1.935,0.645,55,55,1,1
313657,8175,3489,1.935,0.645,55,55,1,1
313757,8208,3501,1.935,0.645,55,55,1,1
313857,8241,3512,1.889,0.645,55,55,1,1
313957,8273,3523,1.889,0.645,55,55,1,1
314057,8306,3535,1.889,0.645,55,55,1,1
314157,8339,3546,1.889,0.645,55,55,1,1
314257,8371,3557,1.889,0.645,55,55,1,1
314357,8404,3568,1.866,0.668,55,55,1,1
314457,8439,3580,1.866,0.668,55,55,1,1
314557,8472,3591,1.958,0.645,55,55,1,1
314657,8505,3602,1.958,0.645,55,55,1,1
314757,8539,3613,1.958,0.645,55,55,1,1
314857,8572,3624,1.935,0.645,55,55,1,1
314957,8606,3636,1.935,0.645,55,55,1,1
315057,8639,3647,1.912,0.645,55,55,1,1
315157,8672,3658,1.912,0.645,55,55,1,1
315257,8705,3670,1.912,0.645,55,55,1,1
315357,8737,3681,1.889,0.645,55,55,1,1
315457,8772,3692,1.889,0.645,55,55,1,1
315557,8804,3703,1.912,0.645,55,55,1,1
315657,8837,3714,1.912,0.645,55,55,1,1
315757,8870,3726,1.912,0.645,55,55,1,1
315857,8902,3737,1.889,0.645,55,55,1,1
315957,8935,3749,1.889,0.645,55,55,1,1
316057,8968,3760,1.889,0.668,55,55,1,1
316157,9001,3772,1.889,0.668,55,55,1,1
316257,9034,3783,1.889,0.668,55,55,1,1
316357,9066,3794,1.889,0.668,55,55,1,1
316457,9099,3805,1.889,0.668,55,55,1,1
